"";"x"
"17";"@jPf95afiuA7INjQ @tarrott Ψυχραιμια!"
"18";"(και ομοιοκαταληξια, επειδη δεν ξεχναω τον παλιο μας ερωτα) <U+0001F590><U+FE0F><U+0001F590><U+FE0F><U+0001F590><U+FE0F>"
"19";"Ενταξει Κυριακο, μη στελνεις αλλους, αναλαμβάνει ο Στέφανος. <U+0001F923><U+0001F923><U+0001F923> "
"20";"@LDelafabrique Εχω χιλιαδες ειδοποιησεις, θα ειναι αδυνατο."
"21";"@fragoua Δεν μπορω να απαντησω με σιγουρια"
"22";"@lalaina55859849 @niades Ευχαριστω!!!"
"23";"*κορονοϊό"
"24";"Την μια τον βλέπω να κάνει σχόλια τύπου ""mas exeis trelanei"" και την επόμενη πρέπει να μιλήσω σοβαρά μαζί του για μονώσεις και ΝΟΚ."
"25";"@NicolinaGerry Τον ένιωσες έτσι; δεν είμαι τρελή"
"26";"Δεν είναι ωραίος, αλλά μ'αρέσει."
"27";"Ηρώ και Λέανδρος: μια αρχαία ιστορία αγάπης "
"28";"Γραμματισμός στα Μέσα Επικοινωνίας "
"29";"Από τον Σωκράτη μέχρι τώρα το ίδιο έργο συνεχώς"
"30";"Δεν είναι Μεταναστευτικη κρίση,  είναι εκβιασμός του διακινητή Ερντογαν !"
"31";"11 εκ. Ελληνες  έχουν ... <U+0001F602><U+0001F602><U+0001F602>"
"32";"Δεν θα κάνουν παρέλαση ...."
"33";"@MairhKotrotsiou @stavrakas13 Στ<U+0092> αλήθεια πιστεύεις πως το μεγάλο αυτό ακκάου που ζει κι αναπνέει για την ματαιοδοξία και τη φιλαρέσκειά του, γράφει με γνώμονα κάποια λογική συνάφεια κι όχι απλά και μόνο για να λατρεύεται από τα τρακόπαιδα και τους Νέστορες;"
"34";"@latinopoulou Μην τους παρεξηγείτε μικρά παιδιά είναι,.... Και αν είναι μεγάλοι και συμπεριφέρονται σαν παιδιά έχουν το ακαταλόγιστο:"
"35";"Δεν κάνω τον έξυπνο απλά το λέω: Για όσους συνεχίζουν  με ""μιλίτσιες"" στον Έβρο,  ισχύει πως μετά το τελευταίο ΚΥΣΕΑ, υπάρχει ασύμμετρη απειλή και  μπορεί να ενεργοποιηθεί η εθνοφυλακή (με μητρώο και διαταγές από Πεντάγωνο κλπ) με απλή εντολή στρατηγού μεραρχίας."
"36";"@Lila_Ka_ Σε ζηλεύουν γι' αυτο"
"37";"Θα έρθει κόσμος στο σπίτι οπότε αναγκαστικά πρέπει να πετάξουμε τα σκουπίδια δύο χρόνων"
"38";"Επαμεινώνδας Τσιαμπόκαλος - Κωσταντινιά"
"39";"#NowPlaying on #Mikrasiatis_Radio "
"40";"Μικρασιάτικα τραγούδια - Μανάκι μου, μανάκι μου (Σμύρνη)"
"41";"Διάβασε ΔΩΡΕΑΝ την προσωπική σου πρόβλεψη, για σήμερα 07/03/2020  "
"42";"Βραχο βραχο τον καημο μου......#StaTragoudiaLemeNai"
"43";"Γκυζιωτισσα απ τα Τιραννα η Τζτζτζτζτζτζτζενη. #Adinamoskrikosgr"
"44";"Ο Θανος Τζανης στο ενα και μοναδικο CD του που θυμαμαι να χει κυκλοφορησει το χε επανεκτελεσει κ συμπεριλαβει σε αυτο, το ''ΝΑ ΛΟΙΠΟΝ ΓΙΑΤΙ Σ ΑΓΑΠΗΣΑ'' #StinIgiamas"
"45";"@christypoly Μου εκλεισαν κ τα Σαββατα ομως. Τα αφηνα κ εγω για κανενα θεατρο.....πανε κ αυτα."
"46";"Για να μάθεις ποιός είσαι πρέπει να ξεχάσεις ποιός σου είπαν ότι πρέπει να γίνεις........"
"47";"#ScandalBook Γνωρίστε τις ατρόμητες στρατιωτίνες που απενεργοποιούν βόμβες "
"48";"#ScandalBook Γενέθλια για τον Γιώργο Μαζωνάκη: Η τούρτα έκπληξη που του έκαναν οι συντελεστές του YFSF! "
"49";"#ScandalBook Λαμπερά πρόσωπα σε ένα μοναδικό shopping therapy υψηλής ωρολογοποιίας στο κατάστημα <U+0093>Κούρτης<U+0094> "
"50";"@MakriMakri Μακρή άδεια τα μολ, ασφαλέστερα από τα δικαστήρια που σε στέλνει για μεροκάματο πες του"
"51";"Πυροβολισμοί έξω από εστιατόριο στο Παλαιό Φάληρο - Ένας τραυματίας -  #starbuzz"
"52";"Σεισμός 6,2 Ρίχτερ στις Μαδέρες - 4,5 Ρίχτερ στο Μαρόκο -  #starbuzz"
"53";"Νέα μέτρα αναμένεται να ανακοινώσει η κυβέρνηση για τον κορωνοϊό -  #starbuzz"
"54";"Ύποπτο κρούσμα κορωνοϊού στο Νοσοκομείο Λαμίας -  #starbuzz"
"55";"ΗΠΑ-Covid-19: Στα 21 τα κρούσματα στο κρουαζιερόπλοιο Grand Princess -  #starbuzz"
"56";"Ευτηχως που δεν κάνω σεξ και δεν εχω κολλήσει τον κοροιτετιο"
"57";"Γελά μου ξανά"
"58";"Περίμενα. Ήμουν υπομονετική. Δε βιαζόμουν να προχωρήσω στη ζωή μου. Ούτε τώρα βιάζομαι. Βρίσκω το δρόμο μου μόνο όταν δε βιάζομαι"
"59";"Το αγόρι μου με θαυμάζει όμως έχει πολλά ενδιαφέροντα και πολλές γνώσεις πάνω σε πολλά θέματα οπότε δεν είμαι εγώ το μόνο του ενδιαφέρον χωρίς να είμαι και το τελευταίο του ενδιαφέρον βέβαια. Το ίδιο συμβαίνει και με εμένα. Πόσο σέξυ είναι όλο αυτό. Το τόσο όσο αλλά έντονα"
"60";"Όταν όλοι γίνονται εκνευριστικοί κι εσύ είσαι ήρεμος τότε δε βλάπτεις τον εαυτό σου"
"61";"Υ.γ: Τα παράπονα για τις λακούβες στο δήμαρχο. "
"62";"#EUROPA Γουλβς: Ισοπαλία και σημάδια κόπωσης πριν τον Ολυμπιακό "
"63";"Έβρος: Νέα βίντεο που δείχνoυν το οργανωμένο σχέδιο της <U+02BC>γκυρας στα σύνορα "
"64";"#TVREPORT Το οδοιπορικό της Τατιάνας Στεφανίδου στον Έβρο! Συγκίνηση και υπερηφάνεια για τους φρουρούς των συνόρων "
"65";"#WOMENONLY 15 πηγές φυτικής πρωτεΐνης για τη νηστεία ή αν είσαι vegetarian "
"66";"@babuba_ Περιστασιακά έχω γόνατα,μέση,αυχένα. Είμαι θεωρητική ηλικία 18,πρακτική 81 <U+0001F602>"
"67";"@kate_rinq Σωστά. <U+02BC>λλωστε αφού οτιδήποτε συμβαίνει είναι θέλημα Θεού, θέλημά Του είναι και ο κορονοϊός."
"68";"@ANATHESIS @EvaKaili Όχι μόνο οι Ζαιοι. κι αυτοί σήμερα το συνεχίζουν όλοι στο κόλπο είναι"
"69";"@maryskyis @tostomamoumesa Σας πνίγω στον ασβέστη εγώ ε!<U+0001F60B><U+0001F60B><U+0001F60B>"
"70";"@GiannaIoa Σωστηηηηηη!!!!!!! <U+0001F602> <U+0001F602>"
"71";"ΖΗΤΑΜΕ ΛΕΦΤΑ ΓΙΑ ΦΥΛΑΞΗ ΣΥΝΟΡΩΝ ΚΑΙ ΑΠΟΤΡΟΠΗ!!! "
"72";"ΑΥΤΟ ΝΑ ΤΟ ΠΡΟΣΕΞΤΕ ΠΟΛΥ ΚΑΛΑ!!! @kmitsotakis @chrisochoidis "
"73";"ΠΟΙΕΣ ""ΑΘΩΕΣ ΨΥΧΕΣ"" ΡΕ ΑΝΘΕΛΛΗΝΙΚΟ ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΑΘΑΡΜΑ???"
"74";"@StraightSix6 Όλος ο ΕΒΡΟΣ ηταν ναρκοθετημενος...."
"75";"@gitsakis @silaserafim Α, εντάξει τότε αφού ""πήρε παραπάνω"". Καλοφάγωτα."
"76";"@ntirlintirli @karvounopoulosp Όντως, οι άπειροι στέκονται σούζα"
"77";"Πότε ξαμολάνε τα τρολς ; όταν τους θίξεις τις ""πεποιθήσεις"" ; ΟΧΙ, όταν τους θίξεις την άνομη κονόμα : τον εκβιασμό σε ασθενείς δημόσιων νοσοκομείων να τα ακουμπάνε στα ιδιωτικά ιατρεία θεοσεβούμενων κ.κ. Καθηγητών θεομπαιχτών κατσαπλιάδων που χαϊδεύονται από ΟΛΕΣ τις κυβερνήσεις "
"78";"@elaparepatates Και με αυτό "
"79";"@deltadrum1 @DeusExBoreae @CharisPap @finn92m @gerrard8din @stratos_juve @linakii13 @EgwPouKsereis @JPriceup @Alain_Leroy_ @karajohn_13 @nick_fcb13 @anti_hero92 @Vassilis_Kant Σας γλενταμε από απεναντι"
"80";"@PepperAnn_15 αυτο θα κανω...1,2,3,4,5,6,7...χαλαρα ποτα"
"81";"@MariArchim @Mitsos138 Δεν έχουμε μαναμ, τό πήρε ή κυρία με τίς οφσορς"
"82";"@AthanShelby Την γνωρίζεις καλα την ανθρωπότητα εσύ, όταν γεννήθηκες γράφατε σε πάπυρο."
"83";"@antidrastis Ελπίζω να μην την χασω ποτέ"
"84";"@CorinaVasilopou @thanasisnostimo Ω ναι"
"85";"Τον Τσίπρα θα πρέπει να τον ευγνωμονούμε αιωνίως! Μας εκπαίδευσε στο πως να αντιμετωπίζουμε ένα τεράστιο πολιτικό τσαρλατάνο και επικοινωνιακό απατεώνα."
"86";"@pavlito9 εξήγησέ μου λίγο την διαφορά που σου κάνει η εθνικότητα αυτών που ευθύνονται"
"87";"@psarianot όποιος ξέρει το φατουρο είναι γέρος δλδ; <U+0001F914>"
"88";"@miss_mairi ναι, τον ηλικιακο διαχωρισμό δεν τον κατάλαβα ποτέ σε αυτό. λες και οι κάτω των 50 ξέρω γω δεν πάνε εκκλησία, δεν πιστεύουν σε έναν αόρατο προστάτη και θαύματα"
"89";"@Nan8iela8keto με Ντερεκ εχασα αρκετο απο το shock value επειδη το ηξερα. με ολους τους υπολοιπους δεν ειχα ιδεα"
"90";"Κορωνοϊός: Στους 3.400 οι νεκροί παγκοσμίως - Μέσω διαδικτύου η κυριακάτικη ευλογία του Πάπα "
"91";"Ακόμα ένα μεγάλο βήμα για τον εκσυγχρονισμό και την ψηφιοποίηση του e-ΕΦΚΑ #ΕΦΚΑ #εισφορες "
"92";"«Δεν κοιμάμαι, αλλά περνάω πολύ ωραία!», αναφέρει. "
"93";"Ζεύγος τουρκικών F-16 πέταξε πάνω από τους Λειψούς στα 3.100 πόδια #Αιγαίο #Προκλησεις #Newpost "
"94";"@Katmgr1 Πατάτες σουφλέ"
"95";"@platitudinous δες τι γραφει εδω "
"96";"@kanekos69 @syriza_gr @mera25_gr @kinisipratto @NikosKotzias Δεμ νομίζω. Αδράνεια και ιδρυματισμος."
"97";""
"98";""
"99";"Επίδομα παιδιού: Βήμα-βήμα πώς να συμπληρώσετε την αίτηση "
"100";" Διαβάστε εδώ .... μέσα έχει και ένα ενδιαφέρον link...."
"101";"@pggadget Δεν τις διαφημίζουμε.... απλά δείχνουμε τους Εφιάλτες της σύγχρονης Ελλάδας.... <U+0001F609>"
"102";"Στη τουρκική γλώσσα θα κυκλοφορήσουν καθόλου οι δύο εφημερίδες; ή είναι μόνο για το δικό τους πόπολο; "
"103";"<U+0001F923><U+0001F923><U+0001F923>"
"104";"''Έρχονται οι Vegans και τρώνε τα γαρύφαλλα από την πίστα'' "
"105";"@ChristinTomblin Δε πιστεύω για τα γαρύφαλλα <U+0001F631><U+0001F605><U+0001F605>"
"106";"@Mandravelis Δεν είναι μεταναστευτικό.... Είναι εισβολή και μετά το βίντεο του τουρκικού τανκ που ρίχνει το φράχτη, είναι ευθεία παραβίαση των συνόρων μας με τη συνδρομή των Τουρκικών δυνάμεων."
"107";"Ρέγκλινγκ: Χαιρετίζουμε τις μεταρρυθμιστικές προσπάθειες της ελληνικής κυβέρνησης "
"108";"Έρχεται η Κυριακή<U+0085> μύρισε Σαρακοστή!"
"109";"Δημοσκόπηση στο ΘΕΜΑ: Το 90% επιδοκιμάζει τους χειρισμούς Μητσοτάκη στο μεταναστευτικό "
"110";"Μετανάστες στον Έβρο: «Βροχή» χημικών από τους Τούρκους από το πρωί - Δείτε εικόνες και βίντεο "
"111";"@evaradiochina Θα κλείσουν αυτοί τα σύνορα στο τέλος"
"112";"Αποκάλυψη: Ο Αμπελάρδο 1η, ο Μάσιμο Καρέρα 3η επιλογή του ΠΑΟΚ! "
"113";"@100_axiologisi @AdonisGeorgiadi Θα είναι ο ένας και μοναδικός που κατατρόπωσε τον Γιάνη σε τηλεοπτικές εμφανίσεις..."
"114";"@chappilot1 @Rantanp49061536 Κ το μπερντι κ το χρώμα"
"115";"Κοινωνία είναι αυτή; Το 85% θα προτιμούσε να τους πεις παπάρα παρά αριστερό. Αη στο διάολο όλοι εδώ μέσα<U+0001F621><U+0001F621><U+0001F621>!"
"116";"#νδ_ρομπες #Evros #IStandWithGreece #fakeTurkishPropaganda"
"117";"@Pantafitaki Θα σας πει τραίνο! Τρένο."
"118";" "
"119";"Κορονωϊός: Σε καραντίνα δεκαπέντε Αμερικανοί τουρίστες σε ξενοδοχείο στη Βηθλεέμ  Ο συνολικός απολογισμός των νεκρών από τον κορωνοϊό στις ΗΠΑ έφτασε τους 16 "
"120";"ΗΠΑ: Ο Mark Meadows νέος προσωπάρχης στον Λευκό Οίκο <U+0096> Ένθερμος υποστηρικτής του Trump "
"121";" "
"122";"Die Welt: Διαχασμένη η ΕΕ για την οικονομική βοήθεια προς την Τουρκία που προωθεί η Merkel  Ο πρόεδρος της ΕΕ και ο Βούλγαρος πρωθυπουργός φέρονται να υποσχέθηκαν στον Erdogan 500 εκατ. ευρώ έως 1 δισ. ευρώ - Αντιδρά Γαλλία, Ολλανδία, Αυστρία "
"123";"@MariosDK1 @TolisKoskinas Δεν συμφωνώ.Δες τι γίνεται σε χώρες εκτός ΕΕ."
"124";"Μόνο που μετά θα πρέπει να γίνει πολύ γρήγορα η απέλαση πριν παγιωθεί η κατάσταση ! "
"125";"@artifrex @Conclavios @AnalgitosFilele Πλαστό, αλλά είναι άσχετο, κάτι λέει για τον Ροναλντίνιο"
"126";"Σαν σήμερα το 1910:"
"127";""
"128";"Δες εδώ: "
"129";"Θλιβερή επίθεση στον Γιάννη και τον Θανάση στα αποδυτήρια με ύβρεις στα ελληνικά! (Video) | Eurohoops "
"130";"Λαύριο - Πανιώνιος 104-71: Εύκολα τον Ιστορικό και... ""καλπάζει"" για Playoffs! (video) | Eurohoops "
"131";"Βερόνικα Αντετοκούνμπο: Η ""γαλανόλευκη"" απάντηση στις ύβρεις κατά Γιάννη και Θανάση (pic) | Eurohoops "
"132";"Ντουμπάι: Το Παλμ Τζουμέιρα #Postcards "
"133";"CIOVID-19: Στα 66 τα επιβεβαιωμένα κρουσματα στην Ελλάδα "
"134";"COVID-19: Ξεπέρασε το όριο των 100.000 κρουσμάτων "
"135";"Οι ""ευπαθείς"" παραβατικοί σκοτώνουν = Ρατσισμός"
"136";"Το αγαπημένο του γιουσουφάκι είναι μόνο <U+0001F496>"
"137";" "
"138";"Κορονοϊός: Η Εθνική Λυρική Σκηνή ακυρώνει για «προληπτικούς λόγους» τις παραστάσεις του Σαββατοκύριακου"
"139";"Αυτό είναι το απόλυτο σπίτι για τους millenials"
"140";"Ο Ερντογάν στις Βρυξέλλες τη Δευτέρα για συνομιλίες σχετικά με το μεταναστευτικό/ προσφυγικό"
"141";"Γιατί επιθυμούμε και στηρίζουμε την επανένωση των χωρισμένων διάσημων ζευγαριών"
"142";"Κορονοϊός: Στα 66 τα κρούσματα στη χώρα  "
"143";"#Σαατσακη _Μαιρη "
"144";"κατά βάθος πονάς,"
"145";"και μας ξυπνά η στεναχώρια"
"146";"μην την επαραξηγείτε"
"147";"Φέρτε μου κρασί για να ξεχάσω,"
"148";"@EliasPalai Εγω αρρωστη δεν παω , ουτε για να αρρωστησω φιλε μου!"
"149";"@LiaDimitra Ευχαριστώω.<U+2764><U+0001F917><U+0001F64F>"
"150";"@LolliSofi Ευχαριστώ, Σόφη.<U+0001F917><U+2764><U+0001F64F>"
"151";"@N1ki_Boom Φχαριστώ, αγάπη.<U+0001F917><U+2764><U+0001F64F>"
"152";"@kostas_pf Θενκς, Κωστή μου.<U+0001F60A><U+0001F64F><U+2764>"
"153";"@V2k3lc0oxa7vxSi Φχαριστώ πολύ, Ελένη μου.<U+2764><U+0001F917><U+0001F64F>"
"154";"@sBs9fCdpxQCCAUD @KTHopkins Ναι η κοινωνία τους το δέχεται."
"155";"@CZachariadis @cstaikouras @AdonisGeorgiadi Τί λέτε;"
"156";"<U+02BC>ντε καληνύχτα."
"157";"@viviko_p Καλημερα"
"158";"#TeoKanistras <U+0095>  <U+0095> Εις μνήμην:  Έλενα Ναθαναήλ "
"159";"#Εβρος "
"160";"Η εβδομαδιαία ανασκόπηση του  (02.03.2020 - 06.03.2020)  "
"161";"Είναι και κάποιες στιγμές που οι βαθιές ανάσες δεν σε ηρεμούν."
"162";"@PepperAnn_15 @BadisHf8 @paobcgr Δεν ισχυει τιποτα απο αυτα,,μην  πεφτεις στην παγιδα τους,αυτη την αμφιβολια θελουν να δημιουργησουν στον κοσμο.."
"163";"@z0uzouna Κι αυτοι που τους πονανε τα δοντια τους."
"164";"@DeepBlu50856566 Θα σε γελασω. Εγω πηρα προφυλαξεις. Μην κολλησουμε και τιποτα. Αυτη η βρωμα μεχρι τσιμπουρια εχει."
"165";"@Stakon13 @Tempeloskilo @vp_66 @77_panagiotis @mrP2050 @AngelMendrinos @EuropiMenoume @nickthegreek5 @HarryKPhoto @NIKSOTIROPOYLOS @TheoIT1 @TwitterSupport Ρε συ εχει μεγαλο νταλκα με το ιντερνετ. Ουτε τηλεφωνο δε θα ειχε στο χωριο του κι εκει που πηγε του πηρε ο γκομενος smartphone"
"166";"@Mafaldadadaaaa Εντάξει. <U+2764><U+FE0F>"
"167";"Είπα σε φίλη ότι θα βγω με γκομενο για να μη πάω για ποτό #beat_that"
"168";"21 νέα κρούσματα #κοροναιος #COVID<U+30FC>19 στην Αχαΐα... Ξέρετε εκεί που τα καρναβάλια βγήκαν έξω έλεγαν on camera ότι δε φοβούνται τον ιό.. Το θέμα δεν είναι καθόλου αστείο, πρέπει όλοι να προσέξουμε και κυρίως να προσέξουμε τους ηλικιωμένους γύρω μας που καμία φορά το παίζουν Ράμπο"
"169";"@TheoIT1 @EliasPalai Ακριβώς γιατί κάθε βάρκα με μετανάστες που γυρνάμε πίσω τη συνοδεύουν μέχρι να περάσουν σε τουρκικά ύδατα"
"170";"@AsiBiliou @aeroplanaki_ Αμην <U+0001F64F><U+0001F3FC>O<U+FE0F>"
"171";"@Notos_KLMT Έφαγα"
"172";"Με αυτά κ με αυτά ξεχασα να δω Τσουκαλά"
"173";"Η μετάφραση της απάντησης είναι πως ο ΣΥΡΙΖΑ τάιζε την παρέα του με ευρωπαϊκά κονδύλια...."
"174";"Διαβάζω καραγκιοζηδες φιλελεδες, που τα προηγούμενα χρόνια μας είχαν γανωσει με μπαρουφες για κατατρεγμένους ""πρόσφυγες"", πλέον να μιλούν για τουρκική προπαγάνδα και φεικ πρόσφυγες."
"175";"""Ποιος έχει "
"176";"Στην τελική ευθεία τα πρώτα μέτρα στήριξης των επιχειρήσεων που δέχθηκαν πλήγμα από τον κοροναϊό "
"177";"Αξιωματούχος ΕΕ: Θα υπάρχει ευελιξία λόγω κοροναϊού για την Ελλάδα αν χρειαστεί "
"178";"Πυρκαγιά σε δομή εκπαίδευσης και ψυχαγωγίας αιτούντων άσυλο στη Μυτιλήνη "
"179";"Συνελήφθησαν δώδεκα αλλοδαποί στο 'Ελ. Βενιζέλος' "
"180";"Έρχονται αλλαγές στο καθεστώς των εκπτώσεων και των προσφορών "
"181";"Σε οικονομική κρίση ο Λίβανος - Αδυναμία πληρωμής για πρώτη φορά στην ιστορία του "
"182";"Δεν πα να λέτε οτι θελετε."
"183";"@MajorTomGr @HereticPant Βασικά εσείς αναφέρατε τον Αινστάιν αλλά αν ψάξετε καλύτερα θα βρείτε και τη φράση που σας είπα..."
"184";"Εχουνε λυσσαξει να μπουν στη χωρα μας. Πρακτορες του Ερντογαν τζιχαντιστές ποινικοι με το ετσι θελω."
"185";"αφου  αγαπατε  τοσο πολυ  τους τουρκαλαδες "
"186";"Καληνυχτα ..."
"187";"@Kostas_Thoneick Καλό κουράγιο,και τύχη φυσικά."
"188";"@giannopoulos_ni <U+0001F602><U+0001F602><U+0001F602>θα φοράω μάσκα όταν μιλάμε η σου στέλνω μήνυμα <U+0001F637>"
"189";"@Kostas_Thoneick Χρονια πολλα με αγαπη κι ελπιδα!"
"190";"Στο σπίτι σου στη δουλειά στο καφενείο"
"191";"@konel_valar Θύμα Πετζετακοϊού"
"192";"@DelgadoSero Ρε φιλε αναρχικος και απο ""τη κοριο""? Εισαι σιγουρος?"
"193";"@Greeksburg @staikos_ @PrimeministerGR Θα το παει και θα γερασει πρωθυπουργος"
"194";"@DelgadoSero Μας πηραν τα ζουμια"
"195";"@rapidis Χρεπιδη εαν κηρυχθει στρατιωτικος νομος με αυτο το τουι συλλαμβανεσαι. Που θα ειναι κριμα γιατι δεν θα γελαμε..."
"196";"@Khlysty1 Με Βασίλη Κικίλια στο τιμόνι του Υπουργείου Υγείας αισθάνομαι 100% σίγουρος. Θα πεθάνουμε όλοι."
"197";"@athtempel @kostasbarkas @neademokratia @syriza_gr @kmitsotakis Ουάου, πόσο δεξιό το να ξεφεύγεις απ/ τα γραπτά ή τα λεγόμενα προσπαθώντας να βρεις... ορθογραφικό λάθος. Έτσι, μείνε να κοιτάς το δέντρο για πάντα. <U+02BC>σε το δάσος. Είναι για ανθρώπους με ανοιχτό μυαλό όπως εγώ. Είπαμε: NEXT"
"198";"@Dora_Bakoyannis Δηλαδή περισσότερα λεφτά στην Τουρκία. Αυτή είναι η πρόταση;"
"199";"@akrokentrwos @Dora_Bakoyannis Να ακολουθήσουν το παράδειγμα και οι Έλληνες πολιτικοί, βουλευτές και υπουργοί. Ελάχιστοι γράφουν στα αγγλικά."
"200";"1.200 ανθρώπους κατέγραψε η ύπατη αρμοστεία προχθες, αλλά ο <U+02BC>δωνις είδε μηδενικές ροές.  "
"201";"Πέντε σύγχρονες ταινίες κατά του Σχολικού Εκφοβισμού #StopBullying  "
"202";" "
"203";"Μας έλειψε πολύ ο κύριος Κατερινοπουλος πάρα πολύ #fosstotounel"
"204";"Έναν Χούλιο τον ήθελα #StinIgiamas"
"205";"Επεισόδιο ανάμεσα σε Γιάννη-Θανάση και Έλληνα οπαδό! (vid)  #superbasket.gr"
"206";"Έβρος: Η Ελλάδα θα κάνει επέκταση του φράκτη κατά 40 χιλιόμετρα "
"207";"Γιάννης Μουζάλας: Η κυβέρνηση κάνει το αυτονόητο στον Έβρο <U+0096> Όχι στην πατριδοκαπηλία "
"208";"Ανήλικη το πρώτο κρούσμα κορονοϊού στη Μάλτα "
"209";"Μετατέθηκε για τον Οκτώβριο ο Μαραθώνιος της Βαρκελώνης λόγω κορονοϊού "
"210";"Βίντεο ντοκουμέντο: Πώς βάζουν μετανάστες να φωνάζουν «Τουρκία» "
"211";"Μυτιλήνη: Μεγάλη φωτιά σε δομή Μη Κυβερνητικής Οργάνωσης <U+0096> Καίγεται το «One Happy Family» "
"212";"Επιστροφή στις νίκες με Salah και Mane! -  -Επέστρεψε στις νίκες η Liverpool! Οι Reds μπορ... "
"213";"Klopp: «Ποτέ δεν θα συγκριθώ με τον Shankly» -  -Η Liverpool το Σάββατο επικράτησε με 2-1 ... "
"214";"Ναι και ένας τσίπρας που δεν είναι άσχετος. "
"215";"Δημοσκοπήσεις: Η συντριπτική πλειοψηφία των Ελλήνων «επικροτεί» το κλείσιμο των συνόρων "
"216";"Χόκεϊ <U+0096> NHL: Η αξία στο combo του 2,95 <U+0001F3D2><U+0001F1FA><U+0001F1F8>"
"217";"@maria_rfn Κατάλαβα.... <U+0001F609>"
"218";"Κορωνοϊός: Παρέμβαση της Επ. Ανταγωνισμού για φαινόμενα υπερκοστολόγησης |   #naftemporiki  #COVID19 #coronavirus #κοροναϊός #κορονοϊός #κορωνοϊός #υγεία #επιδημία #πνευμονία"
"219";"Το VAR και ο Μέσι έστειλαν (προσωρινά) στην κορυφή τη Μπαρτσελόνα |   #naftemporiki"
"220";"@rgos_gio @V2k3lc0oxa7vxSi Ε όχι. Τους γράφω με το επίθετο τους, και όσο περνάει ο καιρός αλλάζω το ringtone. <U+0001F602><U+0001F602>"
"221";"ΑΔΜΗΕ: Τα οφέλη και το χρονοδιάγραμμα της διασύνδεσης της Κρήτης  "
"222";""" Σε σκέφτομαι """
"223";"<U+02BC>ρον Μπέινς: Ρεκόρ καριέρας με 37 πόντους και 9/14 τρίποντα!!! (vid)  μέσω του χρήστη @AllStar_Mag"
"224";"Είμαι πεπεισμένη ότι η ζωή είναι όμορφη ακόμη κι όταν είναι άσχημη,"
"225";"@eRFx5XYLoXv2ISN @LavrentisBeria4 Πες ποια είναι η απάντηση που του αξίζει (με 4 θαυμαστικά) να σε κάνω ριπόρτ να τελειώνουμε. Καμία ανοχή στους φασίστες."
"226";"Το συλλεκτικό της ημέρας. Κι αυτός οπαδός Τζήμερου κ Φαήλου. Περήφανος π ένα μάτσο αμόρφωτα γίδια σουλατσάρουν στα σύνορα με καραμπίνες. Μην τους χαρίζεστε, report κ δρόμο. Και αυτό εδώ για το αρχείο. "
"227";"6 νέα υποβρύχια η Γερμανία στον Ερντογάν, για να τον μαζέψει λίγο. Τρέχα εσύ τώρα στόκε αμόρφωτε φασίστα να κυνηγήσεις ""λαθρο"" στα σύνορα, μη μας πάρουν τη μπατρίδα. Σούζα στον ξένο κουμανταδόρο, όπως πάντα."
